team0,team1,team0_score,team1_score,ot,ot_time,team0_pl,team1_pl,game_num,player_num,time,region,team0_match_score,team1_match_score,team0_win,team1_win,goals_scored
Team Singularity,Almans,2.0,3.0,False,0:00,"['ThO', 'noly']","['FreaKii', 'Striker']",2,2,"May 22, 2020 - 18:00 CEST",Europe,3,2,False,True,5.0
Team Singularity,Almans,3.0,6.0,False,0:00,['Scrub Killa'],['Striker'],3,1,"May 22, 2020 - 18:00 CEST",Europe,3,2,False,True,9.0
Team Singularity,Almans,2.0,0.0,False,0:00,"['Scrub Killa', 'ThO', 'noly']","['FreaKii', 'Godsmilla', 'Striker']",4,3,"May 22, 2020 - 18:00 CEST",Europe,3,2,True,False,2.0
Team Singularity,Almans,8.0,2.0,False,0:00,"['Scrub Killa', 'ThO']","['FreaKii', 'Striker']",5,2,"May 22, 2020 - 18:00 CEST",Europe,3,2,True,False,10.0
FC Barcelona,Servette Geneva Esports,3.0,2.0,False,0:00,"['Deevo', 'Ronaky', 'Seeb']","['Justuszzz', 'Mirror.', 'Zaphare']",1,3,"May 22, 2020 - 18:00 CEST",Europe,3,0,True,False,5.0
FC Barcelona,Servette Geneva Esports,3.0,0.0,False,0:00,"['Deevo', 'Ronaky']","['Mirror.', 'Zaphare']",2,2,"May 22, 2020 - 18:00 CEST",Europe,3,0,True,False,3.0
FC Barcelona,Servette Geneva Esports,11.0,4.0,False,0:00,['Ronaky'],['Justuszzz'],3,1,"May 22, 2020 - 18:00 CEST",Europe,3,0,True,False,15.0
Canyons,Triple Trouble,2.0,0.0,False,0:00,"['Stake', 'Tox', 'Zamué']","['Bluey', 'Kash', 'Tadpole']",1,3,"May 22, 2020 - 19:00 CEST",Europe,3,1,True,False,2.0
Canyons,Triple Trouble,1.0,6.0,False,0:00,"['Stake', 'Tox']","['Bluey', 'Kash']",2,2,"May 22, 2020 - 19:00 CEST",Europe,3,1,False,True,7.0
Canyons,Triple Trouble,6.0,5.0,False,0:00,['Zamué'],['Bluey'],3,1,"May 22, 2020 - 19:00 CEST",Europe,3,1,True,False,11.0
Canyons,Triple Trouble,2.0,1.0,True,0:17,"['Stake', 'Zamué']","['Bluey', 'Kash']",4,2,"May 22, 2020 - 19:00 CEST",Europe,3,1,True,False,3.0
Dignitas,Flying Nunchucks,0.0,1.0,False,0:00,"['Joreuz', 'ViolentPanda', 'Yukeo']","['Al Dente', 'Maadzz', 'Reganam']",1,3,"May 22, 2020 - 19:00 CEST",Europe,3,2,False,True,1.0
Dignitas,Flying Nunchucks,2.0,0.0,False,0:00,"['Joreuz', 'Yukeo']","['Al Dente', 'Reganam']",2,2,"May 22, 2020 - 19:00 CEST",Europe,3,2,True,False,2.0
Dignitas,Flying Nunchucks,6.0,1.0,False,0:00,['Joreuz'],['Al Dente'],3,1,"May 22, 2020 - 19:00 CEST",Europe,3,2,True,False,7.0
Dignitas,Flying Nunchucks,0.0,1.0,False,0:00,"['Joreuz', 'ViolentPanda', 'Yukeo']","['Al Dente', 'Maadzz', 'Reganam']",4,3,"May 22, 2020 - 19:00 CEST",Europe,3,2,False,True,1.0
Dignitas,Flying Nunchucks,7.0,3.0,False,0:00,['Joreuz'],['Maadzz'],5,1,"May 22, 2020 - 19:00 CEST",Europe,3,2,True,False,10.0
Tree of a Kind,Momentum Shifters,0.0,1.0,False,0:00,"['Mittaen', 'Tahz', 'eekso']","['Ali', 'Brownie', 'Impressive']",1,3,"May 22, 2020 - 20:00 CEST",Europe,W,DQ,False,True,1.0
Tree of a Kind,Momentum Shifters,2.0,3.0,False,0:00,"['Mittaen', 'eekso']","['Ali', 'Yahya']",2,2,"May 22, 2020 - 20:00 CEST",Europe,W,DQ,False,True,5.0
Tree of a Kind,Momentum Shifters,9.0,8.0,True,1:44,['eekso'],['Ali'],3,1,"May 22, 2020 - 20:00 CEST",Europe,W,DQ,True,False,17.0
Tree of a Kind,Momentum Shifters,4.0,7.0,False,0:00,['eekso'],['Ali'],4,1,"May 22, 2020 - 20:00 CEST",Europe,W,DQ,False,True,11.0
Yer Maw,Celestial,3.0,4.0,True,4:24,"['Calzafy', 'LuiisP', 'Saizen']","['Mikeboy', 'Rizex45', 'RizuaL']",1,3,"May 22, 2020 - 20:00 CEST",Europe,2,3,False,True,7.0
